items,weight,quantity,price
butter, 200, 1,4.23
sugar, 200, 1,3.54
egg, 0, 8,4.8
lemon, 0, 1,4.53
self-raising flour, 200, 1,4.47
chicken, 900, 1,2.45
strawberry, 300, 1,4.57
potatoes, 500, 1,1.19
garlic cloves, 0, 3,1.9
bacon, 200, 1,2.48
pasta, 200, 1,4.04
cheese, 40, 1,1.65
carrot, 100, 1,2.03
mince, 500, 1,2.47
onion, 0, 1,2.98
milk, 500, 1,1.74
jam, 150, 1,2.83
icing sugar, 100, 1,2.11
oil, 50, 1,2.09
chopped tomatoes, 200, 1,4.44
plain flour, 200, 1,1.22
lasagne sheets, 300, 1,2.66
sweetcorn, 100, 1,1.25
peas, 100, 1,1.92
tuna, 150, 1,2.07
lamb mince, 500, 1,1.14
beef stock, 400, 1,2.23
red chillies, 0, 2,3.72
kidney beans, 400, 1,4.09
lime, 0, 1,1.27
red pepper, 0, 1,3.61
white flour, 200, 1,4.37
mozzarella, 100, 1,1.73
yeast, 50, 1,3.14
water, 200, 1,2.38
passata, 100, 1,1.86
pepperoni, 200, 1,4.4
yogurt, 100, 1,2.96
root ginger, 20, 1,1.45
honey, 25, 1,1.7
rice, 200, 1,2.72
