items,weight,quantity,price
butter, 200, 1,1.7
sugar, 200, 1,2.7
egg, 0, 8,1.75
lemon, 0, 1,4.38
self-raising flour, 200, 1,4.62
chicken, 900, 1,3.37
strawberry, 300, 1,4.47
potatoes, 500, 1,2.6
garlic cloves, 0, 3,4.35
bacon, 200, 1,1.25
pasta, 200, 1,4.59
cheese, 40, 1,1.98
carrot, 100, 1,4.72
mince, 500, 1,1.36
onion, 0, 1,1.56
milk, 500, 1,1.22
jam, 150, 1,2.09
icing sugar, 100, 1,1.57
oil, 50, 1,1.85
chopped tomatoes, 200, 1,3.32
plain flour, 200, 1,4.84
lasagne sheets, 300, 1,4.2
sweetcorn, 100, 1,1.02
peas, 100, 1,2.79
tuna, 150, 1,4.55
lamb mince, 500, 1,4.52
beef stock, 400, 1,3.69
red chillies, 0, 2,3.04
kidney beans, 400, 1,2.24
lime, 0, 1,4.02
red pepper, 0, 1,4.83
white flour, 200, 1,3.01
mozzarella, 100, 1,4.63
yeast, 50, 1,3.2
water, 200, 1,4.86
passata, 100, 1,2.95
pepperoni, 200, 1,3.01
yogurt, 100, 1,2.57
root ginger, 20, 1,3.55
honey, 25, 1,3.18
rice, 200, 1,3.28
