items,weight,quantity,price
butter, 200, 1,3.11
sugar, 200, 1,3.7
egg, 0, 8,1.88
lemon, 0, 1,3.57
self-raising flour, 200, 1,3.8
chicken, 900, 1,4.8
strawberry, 300, 1,1.79
potatoes, 500, 1,1.28
garlic cloves, 0, 3,2.94
bacon, 200, 1,1.8
pasta, 200, 1,1.53
cheese, 40, 1,1.66
carrot, 100, 1,2.22
mince, 500, 1,1.13
onion, 0, 1,2.33
milk, 500, 1,2.39
jam, 150, 1,2.57
icing sugar, 100, 1,4.28
oil, 50, 1,3.65
chopped tomatoes, 200, 1,3.97
plain flour, 200, 1,4.21
lasagne sheets, 300, 1,4.39
sweetcorn, 100, 1,2.83
peas, 100, 1,1.1
tuna, 150, 1,4.54
lamb mince, 500, 1,1.19
beef stock, 400, 1,2.91
red chillies, 0, 2,1.6
kidney beans, 400, 1,2.72
lime, 0, 1,1.8
red pepper, 0, 1,4.68
white flour, 200, 1,1.54
mozzarella, 100, 1,4.67
yeast, 50, 1,4.34
water, 200, 1,2.47
passata, 100, 1,4.72
pepperoni, 200, 1,2.52
yogurt, 100, 1,1.37
root ginger, 20, 1,3.73
honey, 25, 1,1.58
rice, 200, 1,2.16
