items,weight,quantity,price
butter, 200, 1,1.92
sugar, 200, 1,3.54
egg, 0, 8,2.82
lemon, 0, 1,3.73
self-raising flour, 200, 1,4.73
chicken, 900, 1,4.49
strawberry, 300, 1,3.36
potatoes, 500, 1,1.23
garlic cloves, 0, 3,2.14
bacon, 200, 1,3.11
pasta, 200, 1,2.86
cheese, 40, 1,3.35
carrot, 100, 1,3.52
mince, 500, 1,4.18
onion, 0, 1,1.18
milk, 500, 1,4.59
jam, 150, 1,1.64
icing sugar, 100, 1,3.97
oil, 50, 1,3.04
chopped tomatoes, 200, 1,3.63
plain flour, 200, 1,1.49
lasagne sheets, 300, 1,1.48
sweetcorn, 100, 1,4.72
peas, 100, 1,4.7
tuna, 150, 1,3.71
lamb mince, 500, 1,2.05
beef stock, 400, 1,4.48
red chillies, 0, 2,2.37
kidney beans, 400, 1,2.91
lime, 0, 1,3.97
red pepper, 0, 1,3.65
white flour, 200, 1,4.64
mozzarella, 100, 1,2.6
yeast, 50, 1,3.81
water, 200, 1,3.83
passata, 100, 1,3.1
pepperoni, 200, 1,4.68
yogurt, 100, 1,3.94
root ginger, 20, 1,3.12
honey, 25, 1,1.4
rice, 200, 1,2.63
