items,weight,quantity,price
butter, 200, 1,1.6
sugar, 200, 1,3.44
egg, 0, 8,4.27
lemon, 0, 1,4.91
self-raising flour, 200, 1,4.48
chicken, 900, 1,2.12
strawberry, 300, 1,1.01
potatoes, 500, 1,3.3
garlic cloves, 0, 3,3.49
bacon, 200, 1,2.23
pasta, 200, 1,4.07
cheese, 40, 1,4.61
carrot, 100, 1,1.52
mince, 500, 1,3.73
onion, 0, 1,3.69
milk, 500, 1,1.87
jam, 150, 1,3.1
icing sugar, 100, 1,4.79
oil, 50, 1,1.77
chopped tomatoes, 200, 1,1.26
plain flour, 200, 1,3.64
lasagne sheets, 300, 1,4.22
sweetcorn, 100, 1,3.97
peas, 100, 1,4.04
tuna, 150, 1,3.9
lamb mince, 500, 1,2.87
beef stock, 400, 1,2.96
red chillies, 0, 2,1.58
kidney beans, 400, 1,4.89
lime, 0, 1,1.08
red pepper, 0, 1,3.34
white flour, 200, 1,2.49
mozzarella, 100, 1,4.07
yeast, 50, 1,1.09
water, 200, 1,3.22
passata, 100, 1,3.95
pepperoni, 200, 1,2.75
yogurt, 100, 1,3.77
root ginger, 20, 1,4.87
honey, 25, 1,3.22
rice, 200, 1,3.82
