items,weight,quantity,price
butter, 200, 1,3.35
sugar, 200, 1,1.87
egg, 0, 8,4.86
lemon, 0, 1,1.88
self-raising flour, 200, 1,3.54
chicken, 900, 1,3.45
strawberry, 300, 1,2.43
potatoes, 500, 1,3.91
garlic cloves, 0, 3,4.98
bacon, 200, 1,2.01
pasta, 200, 1,1.22
cheese, 40, 1,1.93
carrot, 100, 1,4.4
mince, 500, 1,1.79
onion, 0, 1,4.89
milk, 500, 1,3.86
jam, 150, 1,4.71
icing sugar, 100, 1,2.86
oil, 50, 1,4.18
chopped tomatoes, 200, 1,4.77
plain flour, 200, 1,4.19
lasagne sheets, 300, 1,4.2
sweetcorn, 100, 1,3.96
peas, 100, 1,4.51
tuna, 150, 1,2.89
lamb mince, 500, 1,4.32
beef stock, 400, 1,3.15
red chillies, 0, 2,3.39
kidney beans, 400, 1,2.98
lime, 0, 1,3.59
red pepper, 0, 1,2.74
white flour, 200, 1,1.43
mozzarella, 100, 1,2.22
yeast, 50, 1,4.97
water, 200, 1,4.73
passata, 100, 1,1.35
pepperoni, 200, 1,4.05
yogurt, 100, 1,2.26
root ginger, 20, 1,1.18
honey, 25, 1,3.99
rice, 200, 1,4.3
