items,weight,quantity,price
butter, 200, 1,4.96
sugar, 200, 1,1.99
egg, 0, 8,3.97
lemon, 0, 1,2.71
self-raising flour, 200, 1,3.97
chicken, 900, 1,3.7
strawberry, 300, 1,3.2
potatoes, 500, 1,4.02
garlic cloves, 0, 3,2.45
bacon, 200, 1,3.81
pasta, 200, 1,4.75
cheese, 40, 1,1.12
carrot, 100, 1,1.09
mince, 500, 1,3.36
onion, 0, 1,2.95
milk, 500, 1,1.02
jam, 150, 1,1.32
icing sugar, 100, 1,4.64
oil, 50, 1,1.27
chopped tomatoes, 200, 1,3.47
plain flour, 200, 1,2.65
lasagne sheets, 300, 1,1.03
sweetcorn, 100, 1,1.06
peas, 100, 1,3.32
tuna, 150, 1,4.65
lamb mince, 500, 1,4.05
beef stock, 400, 1,2.62
red chillies, 0, 2,2.53
kidney beans, 400, 1,4.01
lime, 0, 1,1.27
red pepper, 0, 1,2.64
white flour, 200, 1,3.31
mozzarella, 100, 1,1.59
yeast, 50, 1,3.01
water, 200, 1,4.51
passata, 100, 1,1.03
pepperoni, 200, 1,2.73
yogurt, 100, 1,2.14
root ginger, 20, 1,1.78
honey, 25, 1,2.07
rice, 200, 1,1.77
