items,weight,quantity,price
butter, 200, 1,3.85
sugar, 200, 1,3.89
egg, 0, 8,4.88
lemon, 0, 1,4.96
self-raising flour, 200, 1,4.6
chicken, 900, 1,1.79
strawberry, 300, 1,4.07
potatoes, 500, 1,3.42
garlic cloves, 0, 3,2.41
bacon, 200, 1,1.81
pasta, 200, 1,3.09
cheese, 40, 1,2.0
carrot, 100, 1,4.34
mince, 500, 1,3.88
onion, 0, 1,4.47
milk, 500, 1,1.51
jam, 150, 1,1.4
icing sugar, 100, 1,4.77
oil, 50, 1,4.11
chopped tomatoes, 200, 1,1.86
plain flour, 200, 1,4.2
lasagne sheets, 300, 1,1.34
sweetcorn, 100, 1,3.12
peas, 100, 1,3.24
tuna, 150, 1,2.56
lamb mince, 500, 1,3.6
beef stock, 400, 1,1.79
red chillies, 0, 2,1.21
kidney beans, 400, 1,3.52
lime, 0, 1,1.23
red pepper, 0, 1,1.49
white flour, 200, 1,2.05
mozzarella, 100, 1,4.1
yeast, 50, 1,2.81
water, 200, 1,4.19
passata, 100, 1,3.41
pepperoni, 200, 1,4.11
yogurt, 100, 1,3.81
root ginger, 20, 1,1.44
honey, 25, 1,1.76
rice, 200, 1,3.88
